184,República Democrática del Congo,3,1,3157,4,3
185,Granada,3,2,660,152,34
186,Noruega,1,3,1206,79,41
187,Zimbabue,2,4,4307,7,72
188,Chad,2,4,1056,76,10
189,Trinidad y Tobago,1,4,5221,182,68
190,Seychelles,1,4,1474,188,9
191,Argentina,3,3,3360,118,20
192,Guatemala,2,4,3407,47,71
193,España,3,2,1290,189,51
194,Japón,1,1,776,15,40
195,Islas Marshall,1,4,2758,4,6
196,Argelia,3,4,5009,105,11
197,Países Bajos,2,1,3418,20,41
198,Italia,1,4,3318,170,12
199,Laos,3,4,2640,60,66
200,Turquía,4,3,1202,6,28
201,Tayikistán,3,3,5541,164,2
202,Afganistán,4,1,4142,129,8
203,Bulgaria,3,4,4487,51,11
204,Kuwait,2,1,584,46,73
205,Túnez,4,2,1997,15,49
206,Jamaica,2,2,1015,18,10
207,Japón,4,3,2631,194,41
208,Nigeria,1,2,5001,25,58
209,Ciudad del Vaticano,2,2,3658,82,57
210,Perú,4,1,5376,28,32
211,Arabia Saudita,3,3,4266,93,18
212,República Checa,3,2,651,126,51
213,Hungría,3,2,2524,176,43
214,Birmania,2,3,1844,187,48
215,Mongolia,2,3,2317,4,68
216,Grecia,1,1,3266,133,59
217,Surinam,3,2,28,22,59
218,Armenia,2,3,1511,103,71
219,Albania,2,3,2882,27,34
220,China,2,1,575,74,60
221,Sierra Leona,3,2,4747,102,12
222,Maldivas,2,3,3215,72,74
223,Togo,4,3,3074,55,19
224,Timor Oriental,4,4,3897,195,28
225,Panamá,2,2,364,124,45
226,Colombia,1,1,4112,138,42
227,Samoa,3,2,652,180,57
228,Tonga,1,2,3500,20,4
229,Emiratos Árabes Unidos,4,3,3272,59,20
230,Zimbabue,2,2,1452,68,18
231,Polonia,3,3,3870,38,4
232,Micronesia,1,2,3240,138,23
233,Namibia,4,4,2896,27,9
234,Senegal,3,2,1168,82,2
235,Bielorrusia,1,2,4931,127,66
236,Jamaica,2,1,96,111,21
237,Indonesia,2,2,900,73,68
238,Maldivas,2,3,1192,100,5
239,Guinea-Bisáu,4,1,5334,67,58
240,Belice,2,3,1275,154,56
241,Cuba,1,4,4729,198,34
242,Kirguistán,4,2,3959,62,47
243,Guinea,1,4,3055,171,9
244,Sudáfrica,4,2,2284,78,27
245,Camerún,3,3,2975,173,64
246,Argelia,3,2,5495,36,51
247,Marruecos,3,1,3203,116,25
248,Macedonia del Norte,4,4,369,51,20
249,Austria,3,2,5003,197,22
250,Bélgica,4,4,2319,130,16
251,Paraguay,1,4,1013,178,26
252,Irak,4,2,192,26,39
253,Noruega,4,1,3800,141,15
254,Brasil,4,1,2070,108,46
255,Bolivia,4,1,3377,118,20
256,Níger,2,1,4719,69,69
257,Malasia,2,2,2678,113,37
258,Lesoto,3,3,2671,25,63
259,Baréin,4,1,2449,135,52
260,Nicaragua,3,3,1769,76,50
261,Santa Lucía,3,1,5329,97,14
262,Líbano,4,1,1249,187,66
263,Malta,2,4,3301,44,63
264,Nauru,3,3,109,87,15
265,Comoras,2,2,4861,12,50
266,Uzbekistán,3,4,2445,175,2
267,Sudáfrica,1,2,3963,133,71
268,Eslovenia,4,2,4870,200,63
269,Chad,1,1,4185,159,50
270,Chile,2,2,5025,194,39
271,Jordania,2,3,2463,128,17
272,Filipinas,4,4,534,61,18
273,Armenia,4,2,1875,133,21
274,Corea del Sur,3,4,275,31,5
275,Brasil,1,3,741,50,61
276,Tailandia,2,1,2926,64,27
277,Ucrania,3,1,1100,17,16
278,Azerbaiyán,1,4,4451,41,64
279,Letonia,1,4,630,109,57
280,Tuvalu,4,3,5223,138,9
281,Finlandia,3,1,5496,146,18
282,Angola,1,1,3895,156,53
283,Austria,1,3,3489,185,71
284,Ecuador,4,2,4533,191,11
285,República Dominicana,3,3,4932,165,70
286,San Marino,1,4,4133,37,43
287,Haití,2,4,4910,180,35
288,Kuwait,2,3,5389,157,68
289,San Cristóbal y Nieves,1,3,3812,99,13
290,Argentina,4,1,4595,123,67
291,Brasil,3,3,2387,100,14
292,Spain,3,2,4217,123,43
293,Noruega,2,2,4823,58,3
294,Chile,3,1,1707,151,59
295,Uruguay,1,4,1522,95,67
296,Argentina,3,4,3673,184,39
297,Brasil,2,2,4123,103,12
298,Spain,1,2,5143,26,25
299,Noruega,2,3,4009,151,28
300,Chile,4,3,4137,30,5
301,Uruguay,4,4,2072,154,51
302,Argentina,3,2,1567,167,9
303,Brasil,4,1,5004,140,8
304,Spain,2,2,5056,189,43
305,Noruega,3,1,3435,109,56
306,Chile,1,1,599,173,63
307,Uruguay,4,2,1943,78,19
308,Argentina,3,1,4542,11,46
309,Brasil,2,1,293,2,45
310,Spain,2,1,4622,179,38
311,Noruega,3,1,4634,43,66
312,Chile,4,1,551,197,39
313,Uruguay,4,3,5203,139,26
314,Argentina,4,1,1697,60,39
315,Brasil,2,1,4277,19,29
316,Spain,2,3,4409,81,38
317,Noruega,4,3,3776,114,49
318,Chile,1,3,588,73,71
319,Uruguay,4,2,1369,29,46
320,Argentina,2,3,5219,191,61
321,Brasil,3,1,2424,42,31
322,Spain,3,1,3006,143,18
323,Noruega,1,4,3674,58,27
324,Chile,4,4,5085,110,16
325,Uruguay,3,4,3170,75,30
326,Argentina,4,2,1792,98,33
327,Brasil,3,1,2263,5,31
328,Spain,1,1,2371,198,74
329,Noruega,2,1,4080,65,65
330,Chile,1,1,4992,3,69
331,Uruguay,2,2,4891,83,58
332,Argentina,1,1,16,141,6
333,Brasil,4,3,1178,23,42
334,Spain,4,1,3342,160,31
335,Noruega,4,3,1815,193,74
336,Chile,1,2,2726,41,49
337,Uruguay,1,3,10,57,20
338,Argentina,3,2,507,33,46
339,Brasil,2,4,3769,136,72
340,Spain,4,2,1723,38,6
341,Noruega,4,2,4609,182,17
342,Chile,2,4,311,127,23
343,Uruguay,3,1,3300,66,43
344,Argentina,3,2,952,54,19
345,Brasil,3,4,5116,135,58
346,Spain,1,3,4292,70,21
347,Noruega,3,1,2021,171,55
348,Chile,4,3,3011,166,57
349,Uruguay,4,1,4932,125,11
350,Argentina,1,1,5106,161,26
351,Brasil,1,4,1206,92,8
352,Spain,1,1,2242,97,69
353,Noruega,2,1,2993,65,18
354,Chile,2,3,5465,61,37
355,Uruguay,2,3,4606,52,9
356,Argentina,4,3,4098,11,49
357,Brasil,4,1,4218,158,35
358,Spain,4,4,4018,164,29
359,Noruega,1,3,2825,49,25
360,Chile,2,3,4113,198,63
361,Uruguay,3,1,4854,178,21
362,Argentina,2,1,2118,176,73
363,Brasil,4,3,3466,62,35
364,Spain,4,4,5456,148,25
365,Noruega,4,2,285,69,11
366,Chile,3,1,4451,54,58
367,Uruguay,3,2,1800,126,74
368,Argentina,4,3,3339,36,59
369,Brasil,2,4,2201,183,40
370,Spain,4,2,783,164,18
371,Noruega,2,4,2745,165,19
372,Chile,3,4,813,57,31
373,Uruguay,3,2,1821,7,61
374,Argentina,2,3,3488,80,33
375,Brasil,1,3,1107,94,63
376,Spain,4,2,4839,123,44
377,Noruega,4,1,4114,39,69
378,Chile,1,4,3788,77,44
379,Uruguay,3,1,3157,107,20
380,Argentina,3,2,660,147,48
381,Brasil,1,3,1206,32,6
382,Spain,2,4,4307,63,67
383,Noruega,2,4,1056,98,29
384,Chile,1,4,5221,159,45
385,Uruguay,1,4,1474,30,7
386,Argentina,3,3,3360,141,11
387,Brasil,2,4,3407,23,30
388,Spain,3,2,1290,181,6
389,Noruega,1,1,776,175,54
390,Chile,1,4,2758,92,44
391,Uruguay,3,3,1831,188,16
392,Argentina,2,2,2325,154,66
393,Brasil,4,3,578,46,5
394,Spain,4,4,4207,165,31
395,Noruega,1,3,445,111,70
396,Chile,1,4,3931,149,62
397,Uruguay,1,4,605,104,33
398,Argentina,3,2,3486,172,34
399,Brasil,2,2,531,83,50
400,Noruega,3,3,2438,56,1
401,Chile,2,4,2851,158,53
402,Uruguay,4,1,3930,10,69
403,Argentina,2,2,4722,99,52
404,Brasil,3,2,3529,86,32
405,Spain,1,2,1665,159,11
406,Noruega,2,1,5400,21,68
407,Chile,2,2,96,145,21
408,Uruguay,1,4,5340,86,9
409,Argentina,4,2,2250,109,19
410,Brasil,2,2,3822,193,28
411,Spain,4,2,2532,16,19
412,Noruega,2,1,358,14,19
413,Chile,2,3,2371,177,41
414,Uruguay,1,1,1803,195,23
415,Argentina,4,3,3389,136,18
416,Brasil,4,4,1774,64,42
417,Spain,3,4,4176,89,16
418,Noruega,3,2,1491,56,43
419,Chile,4,4,3331,98,3
420,Uruguay,2,1,2775,148,32
421,Argentina,3,2,5324,42,50
422,Brasil,2,1,1580,130,32
423,Spain,2,1,3430,156,34
424,Noruega,3,3,1326,91,37
425,Chile,2,2,1197,66,46
426,Uruguay,2,1,769,168,28
427,Argentina,2,3,5076,121,19
428,Brasil,1,1,92,124,56
429,Spain,4,4,352,108,71
430,Noruega,3,1,1735,199,65
431,Chile,2,2,3070,122,59
432,Uruguay,3,3,4425,24,74
433,Argentina,3,2,2211,108,52
434,Brasil,2,2,1533,87,61
435,Spain,3,1,1884,147,54
436,Noruega,2,2,2107,61,21
437,Chile,4,2,3880,155,26
438,Uruguay,1,3,1976,152,74
439,Argentina,1,3,4438,45,47
440,Brasil,3,4,5519,30,52
441,Spain,4,3,3003,140,58
442,Noruega,4,2,4679,103,34
443,Chile,1,3,4771,54,18
444,Uruguay,2,2,3572,72,37
445,Argentina,1,3,1241,59,65
446,Brasil,3,1,3383,201,12
447,Spain,1,1,5130,134,57
448,Noruega,3,2,1385,169,11
449,Chile,1,3,4956,166,68
450,Uruguay,2,3,1027,67,13
451,Argentina,4,4,2076,132,40
452,Brasil,4,3,3814,155,8
453,Spain,3,3,4964,24,38
454,Noruega,4,2,5085,115,63
455,Chile,3,3,679,66,51
456,Uruguay,2,2,2188,9,39
457,Argentina,1,4,1239,13,33
458,Brasil,2,4,3200,33,39
459,Spain,3,2,4184,94,25
460,Noruega,4,4,2023,173,71
461,Chile,1,3,4581,131,19
462,Uruguay,4,2,3123,50,73
463,Argentina,1,4,5265,139,70
464,Brasil,1,1,5359,191,39
465,Spain,2,3,1139,6,69
466,Noruega,2,4,3143,129,46
467,Chile,2,1,1923,17,41
468,Uruguay,4,4,1205,35,50
469,Argentina,3,1,1553,81,17
470,Brasil,4,4,2636,70,55
471,Spain,4,1,4103,85,49
472,Noruega,4,4,4902,172,58
473,Chile,1,4,3496,5,56
474,Uruguay,4,1,440,29,72
475,Argentina,1,4,2720,21,29
476,Brasil,1,1,5220,106,73
477,Spain,4,3,2080,105,51
478,Noruega,2,3,332,91,29
479,Chile,3,3,2232,174,36
480,Uruguay,4,3,4535,68,62
481,Argentina,4,2,3812,60,5
482,Brasil,4,1,3531,137,43
483,Spain,4,2,4430,1,43
484,Noruega,1,1,217,25,43
485,Chile,2,4,3060,77,63
486,Uruguay,1,3,1166,150,15
487,Argentina,2,4,2596,144,35
488,Brasil,3,2,4499,55,34
489,Spain,3,4,4331,129,2
490,Noruega,2,3,1779,28,51
491,Chile,3,1,1479,113,58
492,Uruguay,1,3,2099,90,13
493,Argentina,2,3,2290,146,47
494,Brasil,2,3,1172,62,58
495,Spain,3,1,3150,110,58
496,Noruega,1,1,5439,162,14
497,Chile,3,2,3328,113,68
498,Uruguay,4,4,2142,39,42
499,Argentina,2,1,2681,1,5
500,Brasil,4,2,3036,121,37
